"id","estado","cidade","cep"
"1341","MA","Urbano Santos","65530-000"
"1342","MA","Vargem Grande","65430-000"
"1343","MA","Viana","65215-000"
"1344","MA","Vila Nova dos Martírios","65924-000"
"1345","MA","Vitória do Mearim","65350-000"
"1346","MA","Vitorino Freire","65320-000"
"1347","MA","Zé Doca","65365-000"
"1348","MG","Abadia dos Dourados","38540-000"
"1349","MG","Abaeté","35620-000"
"1350","MG","Abre Campo","35365-000"
"1351","MG","Acaiaca","35438-000"
"1352","MG","Açucena","35147-000"
"1353","MG","Água Boa","39790-000"
"1354","MG","Água Comprida","38110-000"
"1355","MG","Aguanil","37273-000"
"1356","MG","Águas Formosas","39880-000"
"1357","MG","Águas Vermelhas","39990-000"
"1358","MG","Aimorés","35200-000"
"1359","MG","Aiuruoca","37450-000"
"1360","MG","Alagoa","37458-000"
"1361","MG","Albertina","37596-000"
"1362","MG","Além Paraíba","36660-000"
"1363","MG","Alfenas","37130-001"
"1364","MG","Alfredo Vasconcelos","36272-000"
"1365","MG","Almenara","39900-000"
"1366","MG","Alpercata","35138-000"
"1367","MG","Alpinópolis","37940-000"
"1368","MG","Alterosa","37145-000"
"1369","MG","Alto Caparaó","36979-000"
"1370","MG","Alto Jequitibá","36976-000"
"1371","MG","Alto Rio Doce","36260-000"
"1372","MG","Alvarenga","35249-000"
"1373","MG","Alvinópolis","35950-000"
"1374","MG","Alvorada de Minas","39140-000"
"1375","MG","Amparo da Serra","35444-000"
"1376","MG","Andradas","37795-000"
"1377","MG","Andrelândia","37300-000"
"1378","MG","Angelândia","39685-000"
"1379","MG","Antônio Carlos","36220-000"
"1380","MG","Antônio Dias","35177-000"
"1381","MG","Antônio Prado de Minas","36850-000"
"1382","MG","Araçaí","35777-000"
"1383","MG","Aracitaba","36255-000"
"1384","MG","Araçuaí","39600-000"
"1385","MG","Araguari","38440-001"
"1386","MG","Arantina","37360-000"
"1387","MG","Araponga","36594-000"
"1388","MG","Araporã","38465-000"
"1389","MG","Arapuá","38860-000"
"1390","MG","Araújos","35603-000"
"1391","MG","Araxá","38180-001"
"1392","MG","Arceburgo","37820-000"
"1393","MG","Arcos","35588-000"
"1394","MG","Areado","37140-000"
"1395","MG","Argirita","36710-000"
"1396","MG","Aricanduva","39678-000"
"1397","MG","Arinos","38680-000"
"1398","MG","Astolfo Dutra","36780-000"
"1399","MG","Ataléia","39850-000"
"1400","MG","Augusto de Lima","39219-000"
"1401","MG","Baependi","37443-000"
"1402","MG","Baldim","35732-000"
"1403","MG","Bambuí","38900-000"
"1404","MG","Bandeira","39917-000"
"1405","MG","Bandeira do Sul","37740-000"
"1406","MG","Barão de Cocais","35970-000"
"1407","MG","Barão de Monte Alto","36870-000"
"1408","MG","Barbacena","36200-001"
"1409","MG","Barra Longa","35447-000"
"1410","MG","Barroso","36212-000"
"1411","MG","Bela Vista de Minas","35938-000"
"1412","MG","Belmiro Braga","36126-000"
"1413","MG","Belo Horizonte","30000-001"
"1414","MG","Belo Oriente","35195-000"
"1415","MG","Belo Vale","35473-000"
"1416","MG","Berilo","39640-000"
"1417","MG","Berizal","39555-000"
"1418","MG","Bertópolis","39875-000"
"1419","MG","Betim","32600-001"
"1420","MG","Bias Fortes","36230-000"
"1421","MG","Bicas","36600-000"
"1422","MG","Biquinhas","35621-000"
"1423","MG","Boa Esperança","37170-000"
"1424","MG","Bocaina de Minas","37340-000"
"1425","MG","Bocaiúva","39390-000"
"1426","MG","Bom Despacho","35600-000"
"1427","MG","Bom Jardim de Minas","37310-000"
"1428","MG","Bom Jesus da Penha","37948-000"
"1429","MG","Bom Jesus do Amparo","35908-000"
"1430","MG","Bom Jesus do Galho","35340-000"
"1431","MG","Bom Repouso","37610-000"
"1432","MG","Bom Sucesso","37220-000"
"1433","MG","Bonfim","35480-000"
"1434","MG","Bonfinópolis de Minas","38650-000"
"1435","MG","Bonito de Minas","39490-000"
"1436","MG","Borda da Mata","37564-000"
"1437","MG","Botelhos","37720-000"
"1438","MG","Botumirim","39595-000"
"1439","MG","Brás Pires","36542-000"
"1440","MG","Brasilândia de Minas","38779-000"
"1441","MG","Brasília de Minas","39330-000"
"1442","MG","Braúnas","35189-000"
"1443","MG","Brazópolis","37530-000"
"1444","MG","Brumadinho","35460-000"
"1445","MG","Bueno Brandão","37578-000"
"1446","MG","Buenópolis","39230-000"
"1447","MG","Bugre","35193-000"
"1448","MG","Buritis","38660-000"
"1449","MG","Buritizeiro","39280-000"
"1450","MG","Cabeceira Grande","38625-000"
"1451","MG","Cabo Verde","37880-000"
"1452","MG","Cachoeira da Prata","35765-000"
"1453","MG","Cachoeira de Minas","37545-000"
"1454","MG","Cachoeira de Pajeú","39980-000"
"1455","MG","Cachoeira Dourada","38370-000"
"1456","MG","Caetanópolis","35770-000"
"1457","MG","Caeté","34800-000"
"1458","MG","Caiana","36832-000"
"1459","MG","Cajuri","36560-000"
"1460","MG","Caldas","37780-000"
"1461","MG","Camacho","35555-000"
"1462","MG","Camanducaia","37650-000"
"1463","MG","Cambuí","37600-000"
"1464","MG","Cambuquira","37420-000"
"1465","MG","Campanário","39835-000"
"1466","MG","Campanha","37400-000"
"1467","MG","Campestre","37730-000"
"1468","MG","Campina Verde","38270-000"
"1469","MG","Campo Azul","39338-000"
"1470","MG","Campo Belo","37270-000"
"1471","MG","Campo do Meio","37165-000"
"1472","MG","Campo Florido","38130-000"
"1473","MG","Campos Altos","38970-000"
"1474","MG","Campos Gerais","37160-000"
"1475","MG","Cana Verde","37267-000"
"1476","MG","Canaã","36592-000"
"1477","MG","Canápolis","38380-000"
"1478","MG","Candeias","37280-000"
"1479","MG","Cantagalo","39703-000"
"1480","MG","Caparaó","36834-000"
"1481","MG","Capela Nova","36290-000"
"1482","MG","Capelinha","39680-000"
"1483","MG","Capetinga","37993-000"
"1484","MG","Capim Branco","35730-000"
"1485","MG","Capinópolis","38360-000"
"1486","MG","Capitão Andrade","35123-000"
"1487","MG","Capitão Enéas","39472-000"
"1488","MG","Capitólio","37930-000"
"1489","MG","Caputira","36925-000"
"1490","MG","Caraí","39810-000"
"1491","MG","Caranaíba","36428-000"
"1492","MG","Carandaí","36280-000"
"1493","MG","Carangola","36800-000"
"1494","MG","Caratinga","35300-001"
"1495","MG","Carbonita","39665-000"
"1496","MG","Careaçu","37582-000"
"1497","MG","Carlos Chagas","39864-000"
"1498","MG","Carmésia","35878-000"
"1499","MG","Carmo da Cachoeira","37225-000"
"1500","MG","Carmo da Mata","35547-000"
"1501","MG","Carmo de Minas","37472-000"
"1502","MG","Carmo do Cajuru","35557-000"
"1503","MG","Carmo do Paranaíba","38840-000"
"1504","MG","Carmo do Rio Claro","37150-000"
"1505","MG","Carmópolis de Minas","35534-000"
"1506","MG","Carneirinho","38290-000"
"1507","MG","Carrancas","37245-000"
"1508","MG","Carvalhópolis","37760-000"
"1509","MG","Carvalhos","37456-000"
"1510","MG","Casa Grande","36422-000"
"1511","MG","Cascalho Rico","38460-000"
"1512","MG","Cássia","37980-000"
"1513","MG","Cataguases","36770-001"
"1514","MG","Catas Altas","35969-000"
"1515","MG","Catas Altas da Noruega","36450-000"
"1516","MG","Catuji","39816-000"
"1517","MG","Catuti","39526-000"
"1518","MG","Caxambu","37440-000"
"1519","MG","Cedro do Abaeté","35624-000"
"1520","MG","Central de Minas","35260-000"
"1521","MG","Centralina","38390-000"
"1522","MG","Chácara","36110-000"
"1523","MG","Chalé","36985-000"
"1524","MG","Chapada do Norte","39648-000"
"1525","MG","Chapada Gaúcha","38689-000"
"1526","MG","Chiador","36630-000"
"1527","MG","Cipotânea","36265-000"
"1528","MG","Claraval","37997-000"
"1529","MG","Claro dos Poções","39380-000"
"1530","MG","Cláudio","35530-000"
"1531","MG","Coimbra","36550-000"
"1532","MG","Coluna","39770-000"
"1533","MG","Comendador Gomes","38250-000"
"1534","MG","Comercinho","39628-000"
"1535","MG","Conceição da Aparecida","37148-000"
"1536","MG","Conceição da Barra de Minas","36360-000"
"1537","MG","Conceição das Alagoas","38120-000"
"1538","MG","Conceição das Pedras","37527-000"
"1539","MG","Conceição de Ipanema","36947-000"
"1540","MG","Conceição do Mato Dentro","35858-000"
"1541","MG","Conceição do Pará","35668-000"
"1542","MG","Conceição do Rio Verde","37430-000"
"1543","MG","Conceição dos Ouros","37548-000"
"1544","MG","Cônego Marinho","39489-000"
"1545","MG","Confins","33500-000"
"1546","MG","Congonhal","37584-000"
"1547","MG","Congonhas","36415-000"
"1548","MG","Congonhas do Norte","35850-000"
"1549","MG","Conquista","38195-000"
"1550","MG","Conselheiro Lafaiete","36400-001"
"1551","MG","Conselheiro Pena","35240-000"
"1552","MG","Consolação","37670-000"
"1553","MG","Contagem","32000-001"
"1554","MG","Coqueiral","37235-000"
"1555","MG","Coração de Jesus","39340-000"
"1556","MG","Cordisburgo","35780-000"
"1557","MG","Cordislândia","37498-000"
"1558","MG","Corinto","39200-000"
"1559","MG","Coroaci","39710-000"
"1560","MG","Coromandel","38550-000"
"1561","MG","Coronel Fabriciano","35170-001"
"1562","MG","Coronel Murta","39635-000"
"1563","MG","Coronel Pacheco","36155-000"
"1564","MG","Coronel Xavier Chaves","36330-000"
"1565","MG","Córrego Danta","38990-000"
"1566","MG","Córrego do Bom Jesus","37605-000"
"1567","MG","Córrego Fundo","35568-000"
"1568","MG","Córrego Novo","35345-000"
"1569","MG","Couto de Magalhães de Minas","39188-000"
"1570","MG","Crisólita","39885-000"
"1571","MG","Cristais","37275-000"
"1572","MG","Cristália","39598-000"
"1573","MG","Cristiano Otoni","36426-000"
"1574","MG","Cristina","37476-000"
"1575","MG","Crucilândia","35478-000"
"1576","MG","Cruzeiro da Fortaleza","38735-000"
"1577","MG","Cruzília","37445-000"
"1578","MG","Cuparaque","35246-000"
"1579","MG","Curral de Dentro","39569-000"
"1580","MG","Curvelo","35789-000"
"1581","MG","Datas","39130-000"
"1582","MG","Delfim Moreira","37514-000"
"1583","MG","Delfinópolis","37910-000"
"1584","MG","Delta","38108-000"
"1585","MG","Descoberto","36690-000"
"1586","MG","Desterro de Entre Rios","35492-000"
"1587","MG","Desterro do Melo","36210-000"
"1588","MG","Diamantina","39100-000"
"1589","MG","Diogo de Vasconcelos","35437-000"
"1590","MG","Dionísio","35984-000"
"1591","MG","Divinésia","36546-000"
"1592","MG","Divino","36820-000"
"1593","MG","Divino das Laranjeiras","35265-000"
"1594","MG","Divinolândia de Minas","39735-000"
"1595","MG","Divinópolis","35500-001"
"1596","MG","Divisa Alegre","39995-000"
"1597","MG","Divisa Nova","37142-000"
"1598","MG","Divisópolis","39912-000"
"1599","MG","Dom Bosco","38654-000"
"1600","MG","Dom Cavati","35148-000"
"1601","MG","Dom Joaquim","35865-000"
"1602","MG","Dom Silvério","35440-000"
"1603","MG","Dom Viçoso","37474-000"
"1604","MG","Dona Euzébia","36784-000"
"1605","MG","Dores de Campos","36213-000"
"1606","MG","Dores de Guanhães","35894-000"
"1607","MG","Dores do Indaiá","35610-000"
"1608","MG","Dores do Turvo","36513-000"
"1609","MG","Doresópolis","37926-000"
"1610","MG","Douradoquara","38530-000"
"1611","MG","Durandé","36974-000"
"1612","MG","Elói Mendes","37110-000"
"1613","MG","Engenheiro Caldas","35130-000"
"1614","MG","Engenheiro Navarro","39363-000"
"1615","MG","Entre Folhas","35324-000"
"1616","MG","Entre Rios de Minas","35490-000"
"1617","MG","Ervália","36555-000"
"1618","MG","Esmeraldas","35740-000"
"1619","MG","Espera Feliz","36830-000"
"1620","MG","Espinosa","39510-000"
"1621","MG","Espírito Santo do Dourado","37566-000"
"1622","MG","Estiva","37542-000"
"1623","MG","Estrela Dalva","36725-000"
"1624","MG","Estrela do Indaiá","35613-000"
"1625","MG","Estrela do Sul","38525-000"
"1626","MG","Eugenópolis","36855-000"
"1627","MG","Ewbank da Câmara","36108-000"
"1628","MG","Extrema","37640-000"
"1629","MG","Fama","37144-000"
"1630","MG","Faria Lemos","36840-000"
"1631","MG","Felício dos Santos","39180-000"
"1632","MG","Felisburgo","39895-000"
"1633","MG","Felixlândia","39237-000"
"1634","MG","Fernandes Tourinho","35135-000"
"1635","MG","Ferros","35800-000"
"1636","MG","Fervedouro","36815-000"
"1637","MG","Florestal","35690-000"
"1638","MG","Formiga","35570-000"
"1639","MG","Formoso","38690-000"
"1640","MG","Fortaleza de Minas","37905-000"
"1641","MG","Fortuna de Minas","35760-000"
"1642","MG","Francisco Badaró","39644-000"
"1643","MG","Francisco Dumont","39387-000"
"1644","MG","Francisco Sá","39580-000"
"1645","MG","Franciscópolis","39695-000"
"1646","MG","Frei Gaspar","39840-000"
"1647","MG","Frei Inocêncio","35112-000"
"1648","MG","Frei Lagonegro","39708-000"
"1649","MG","Fronteira","38230-000"
"1650","MG","Fronteira dos Vales","39870-000"
"1651","MG","Fruta de Leite","39558-000"
"1652","MG","Frutal","38200-000"
"1653","MG","Funilândia","35736-000"
"1654","MG","Galiléia","35250-000"
"1655","MG","Gameleiras","39505-000"
"1656","MG","Glaucilândia","39592-000"
"1657","MG","Goiabeira","35248-000"
"1658","MG","Goianá","36152-000"
"1659","MG","Gonçalves","37680-000"
"1660","MG","Gonzaga","39720-000"
"1661","MG","Gouveia","39120-000"
"1662","MG","Governador Valadares","35000-001"
"1663","MG","Grão Mogol","39570-000"
"1664","MG","Grupiara","38470-000"
"1665","MG","Guanhães","39740-000"
"1666","MG","Guapé","37177-000"
"1667","MG","Guaraciaba","35436-000"
"1668","MG","Guaraciama","39397-000"
"1669","MG","Guaranésia","37810-000"
"1670","MG","Guarani","36160-000"
"1671","MG","Guarará","36606-000"
"1672","MG","Guarda-Mor","38570-000"
"1673","MG","Guaxupé","37800-000"
"1674","MG","Guidoval","36515-000"
"1675","MG","Guimarânia","38730-000"
"1676","MG","Guiricema","36525-000"
"1677","MG","Gurinhatã","38310-000"
"1678","MG","Heliodora","37484-000"
"1679","MG","Iapu","35190-000"
"1680","MG","Ibertioga","36225-000"
"1681","MG","Ibiá","38950-000"
"1682","MG","Ibiaí","39350-000"
"1683","MG","Ibiracatu","39455-000"
"1684","MG","Ibiraci","37990-000"
"1685","MG","Ibirité","32400-001"
"1686","MG","Ibitiúra de Minas","37790-000"
"1687","MG","Ibituruna","37223-000"
"1688","MG","Icaraí de Minas","39318-000"
"1689","MG","Igarapé","32900-000"
"1690","MG","Igaratinga","35695-000"
"1691","MG","Iguatama","38910-000"
"1692","MG","Ijaci","37218-000"
"1693","MG","Ilicínea","37175-000"
"1694","MG","Imbé de Minas","35323-000"
"1695","MG","Inconfidentes","37576-000"
"1696","MG","Indaiabira","39536-000"
"1697","MG","Indianópolis","38490-000"
"1698","MG","Ingaí","37215-000"
"1699","MG","Inhapim","35330-000"
"1700","MG","Inhaúma","35763-000"
"1701","MG","Inimutaba","39243-000"
"1702","MG","Ipaba","35198-000"
"1703","MG","Ipanema","36950-000"
"1704","MG","Ipatinga","35150-001"
"1705","MG","Ipiaçu","38350-000"
"1706","MG","Ipuiúna","37588-000"
"1707","MG","Iraí de Minas","38510-000"
"1708","MG","Itabira","35900-001"
"1709","MG","Itabirinha","35280-000"
"1710","MG","Itabirito","35450-000"
"1711","MG","Itacambira","39594-000"
"1712","MG","Itacarambi","39470-000"
"1713","MG","Itaguara","35488-000"
"1714","MG","Itaipé","39815-000"
"1715","MG","Itajubá","37500-001"
"1716","MG","Itamarandiba","39670-000"
"1717","MG","Itamarati de Minas","36788-000"
"1718","MG","Itambacuri","39830-000"
"1719","MG","Itambé do Mato Dentro","35820-000"
"1720","MG","Itamogi","37973-000"
"1721","MG","Itamonte","37466-000"
"1722","MG","Itanhandu","37464-000"
"1723","MG","Itanhomi","35120-000"
"1724","MG","Itaobim","39625-000"
"1725","MG","Itapagipe","38240-000"
"1726","MG","Itapecerica","35550-000"
"1727","MG","Itapeva","37655-000"
"1728","MG","Itatiaiuçu","35685-000"
"1729","MG","Itaú de Minas","37975-000"
"1730","MG","Itaúna","35680-001"
"1731","MG","Itaverava","36440-000"
"1732","MG","Itinga","39610-000"
"1733","MG","Itueta","35220-000"
"1734","MG","Ituiutaba","38300-001"
"1735","MG","Itumirim","37210-000"
"1736","MG","Iturama","38280-000"
"1737","MG","Itutinga","36390-000"
"1738","MG","Jaboticatubas","35830-000"
"1739","MG","Jacinto","39930-000"
"1740","MG","Jacuí","37965-000"
"1741","MG","Jacutinga","37590-000"
"1742","MG","Jaguaraçu","35188-000"
"1743","MG","Jaíba","39508-000"
"1744","MG","Jampruca","39837-000"
"1745","MG","Janaúba","39440-001"
"1746","MG","Januária","39480-000"
"1747","MG","Japaraíba","35580-000"
"1748","MG","Japonvar","39335-000"
"1749","MG","Jeceaba","35497-000"
"1750","MG","Jenipapo de Minas","39645-000"
"1751","MG","Jequeri","35390-000"
"1752","MG","Jequitaí","39370-000"
"1753","MG","Jequitibá","35767-000"
"1754","MG","Jequitinhonha","39960-000"
"1755","MG","Jesuânia","37485-000"
"1756","MG","Joaíma","39890-000"
"1757","MG","Joanésia","35194-000"
"1758","MG","João Monlevade","35930-001"
"1759","MG","João Pinheiro","38770-000"
"1760","MG","Joaquim Felício","39240-000"
"1761","MG","Jordânia","39920-000"
"1762","MG","José Gonçalves de Minas","39642-000"
"1763","MG","José Raydan","39775-000"
"1764","MG","Josenópolis","39575-000"
"1765","MG","Juatuba","35675-000"
"1766","MG","Juiz de Fora","36000-001"
"1767","MG","Juramento","39590-000"
"1768","MG","Juruaia","37805-000"
"1769","MG","Juvenília","39467-000"
"1770","MG","Ladainha","39825-000"
"1771","MG","Lagamar","38785-000"
"1772","MG","Lagoa da Prata","35590-000"
"1773","MG","Lagoa dos Patos","39360-000"
"1774","MG","Lagoa Dourada","36345-000"
"1775","MG","Lagoa Formosa","38720-000"
"1776","MG","Lagoa Grande","38755-000"
"1777","MG","Lagoa Santa","33400-000"
"1778","MG","Lajinha","36980-000"
"1779","MG","Lambari","37480-000"
"1780","MG","Lamim","36455-000"
"1781","MG","Laranjal","36760-000"
"1782","MG","Lassance","39250-000"
"1783","MG","Lavras","37200-000"
"1784","MG","Leandro Ferreira","35657-000"
"1785","MG","Leme do Prado","39655-000"
"1786","MG","Leopoldina","36700-000"
"1787","MG","Liberdade","37350-000"
"1788","MG","Lima Duarte","36140-000"
"1789","MG","Limeira do Oeste","38295-000"
"1790","MG","Lontra","39437-000"
"1791","MG","Luisburgo","36923-000"
"1792","MG","Luislândia","39336-000"
"1793","MG","Luminárias","37240-000"
"1794","MG","Luz","35595-000"
"1795","MG","Machacalis","39873-000"
"1796","MG","Machado","37750-000"
"1797","MG","Madre de Deus de Minas","37305-000"
"1798","MG","Malacacheta","39690-000"
"1799","MG","Mamonas","39516-000"
"1800","MG","Manga","39460-000"
"1801","MG","Manhuaçu","36900-000"
"1802","MG","Manhumirim","36970-000"
"1803","MG","Mantena","35290-000"
"1804","MG","Mar de Espanha","36640-000"
"1805","MG","Maravilhas","35666-000"
"1806","MG","Maria da Fé","37517-000"
"1807","MG","Mariana","35420-000"
"1808","MG","Marilac","35115-000"
"1809","MG","Mário Campos","32470-000"
"1810","MG","Maripá de Minas","36608-000"
"1811","MG","Marliéria","35185-000"
"1812","MG","Marmelópolis","37516-000"
"1813","MG","Martinho Campos","35606-000"
"1814","MG","Martins Soares","36972-000"
"1815","MG","Mata Verde","39915-000"
"1816","MG","Materlândia","39755-000"
"1817","MG","Mateus Leme","35670-000"
"1818","MG","Mathias Lobato","35110-000"
"1819","MG","Matias Barbosa","36120-000"
"1820","MG","Matias Cardoso","39478-000"
"1821","MG","Matipó","35367-000"
"1822","MG","Mato Verde","39527-000"
"1823","MG","Matozinhos","35720-000"
"1824","MG","Matutina","38870-000"
"1825","MG","Medeiros","38930-000"
"1826","MG","Medina","39620-000"
"1827","MG","Mendes Pimentel","35270-000"
"1828","MG","Mercês","36190-000"
"1829","MG","Mesquita","35116-000"
"1830","MG","Minas Novas","39650-000"
"1831","MG","Minduri","37447-000"
"1832","MG","Mirabela","39373-000"
"1833","MG","Miradouro","36893-000"
"1834","MG","Miraí","36790-000"
"1835","MG","Miravânia","39465-000"
"1836","MG","Moeda","35470-000"
"1837","MG","Moema","35604-000"
"1838","MG","Monjolos","39215-000"
"1839","MG","Monsenhor Paulo","37405-000"
"1840","MG","Montalvânia","39495-000"
"1841","MG","Monte Alegre de Minas","38475-000"
"1842","MG","Monte Azul","39500-000"
"1843","MG","Monte Belo","37115-000"
"1844","MG","Monte Carmelo","38500-000"
"1845","MG","Monte Formoso","39893-000"
"1846","MG","Monte Santo de Minas","37968-000"
"1847","MG","Monte Sião","37580-000"
"1848","MG","Montes Claros","39400-001"
"1849","MG","Montezuma","39547-000"
"1850","MG","Morada Nova de Minas","35628-000"
"1851","MG","Morro da Garça","39248-000"
"1852","MG","Morro do Pilar","35875-000"
"1853","MG","Munhoz","37620-000"
"1854","MG","Muriaé","36880-001"
"1855","MG","Mutum","36955-000"
"1856","MG","Muzambinho","37890-000"
"1857","MG","Nacip Raydan","39718-000"
"1858","MG","Nanuque","39860-000"
"1859","MG","Naque","35117-000"
"1860","MG","Natalândia","38658-000"
"1861","MG","Natércia","37524-000"
"1862","MG","Nazareno","36370-000"
"1863","MG","Nepomuceno","37250-000"
"1864","MG","Ninheira","39553-000"
"1865","MG","Nova Belém","35298-000"
"1866","MG","Nova Era","35920-000"
"1867","MG","Nova Lima","34000-001"
"1868","MG","Nova Módica","35113-000"
"1869","MG","Nova Ponte","38160-000"
"1870","MG","Nova Porteirinha","39525-000"
"1871","MG","Nova Resende","37860-000"
"1872","MG","Nova Serrana","35517-000"
"1873","MG","Nova União","34990-000"
"1874","MG","Novo Cruzeiro","39820-000"
"1875","MG","Novo Oriente de Minas","39817-000"
"1876","MG","Novorizonte","39568-000"
"1877","MG","Olaria","36145-000"
"1878","MG","Olhos D'Água","39398-000"
"1879","MG","Olímpio Noronha","37488-000"
"1880","MG","Oliveira","35540-000"
"1881","MG","Oliveira Fortes","36250-000"
"1882","MG","Onça de Pitangui","35655-000"
"1883","MG","Oratórios","35439-000"
"1884","MG","Orizânia","36828-000"
"1885","MG","Ouro Branco","36420-000"
"1886","MG","Ouro Fino","37570-000"
"1887","MG","Ouro Preto","35400-000"
"1888","MG","Ouro Verde de Minas","39855-000"
"1889","MG","Padre Carvalho","39573-000"
"1890","MG","Padre Paraíso","39818-000"
"1891","MG","Pai Pedro","39517-000"
"1892","MG","Paineiras","35622-000"
"1893","MG","Pains","35582-000"
"1894","MG","Paiva","36195-000"
"1895","MG","Palma","36750-000"
"1896","MG","Palmópolis","39945-000"
"1897","MG","Papagaios","35669-000"
"1898","MG","Pará de Minas","35660-001"
"1899","MG","Paracatu","38600-001"
"1900","MG","Paraguaçu","37120-000"
"1901","MG","Paraisópolis","37660-000"
"1902","MG","Paraopeba","35774-000"
"1903","MG","Passa Quatro","37460-000"
"1904","MG","Passa Tempo","35537-000"
"1905","MG","Passa Vinte","37330-000"
"1906","MG","Passabém","35810-000"
"1907","MG","Passos","37900-001"
"1908","MG","Patis","39378-000"
"1909","MG","Patos de Minas","38700-001"
"1910","MG","Patrocínio","38740-001"
"1911","MG","Patrocínio do Muriaé","36860-000"
"1912","MG","Paula Cândido","36544-000"
"1913","MG","Paulistas","39765-000"
"1914","MG","Pavão","39814-000"
"1915","MG","Peçanha","39700-000"
"1916","MG","Pedra Azul","39970-000"
"1917","MG","Pedra Bonita","35364-000"
"1918","MG","Pedra do Anta","36585-000"
"1919","MG","Pedra do Indaiá","35565-000"
"1920","MG","Pedra Dourada","36847-000"
"1921","MG","Pedralva","37520-000"
"1922","MG","Pedras de Maria da Cruz","39492-000"
"1923","MG","Pedrinópolis","38178-000"
"1924","MG","Pedro Leopoldo","33600-000"
"1925","MG","Pedro Teixeira","36148-000"
"1926","MG","Pequeri","36610-000"
"1927","MG","Pequi","35667-000"
"1928","MG","Perdigão","35545-000"
"1929","MG","Perdizes","38170-000"
"1930","MG","Perdões","37260-000"
"1931","MG","Periquito","35118-000"
"1932","MG","Pescador","35114-000"
"1933","MG","Piau","36157-000"
"1934","MG","Piedade de Caratinga","35325-000"
"1935","MG","Piedade de Ponte Nova","35382-000"
"1936","MG","Piedade do Rio Grande","36227-000"
"1937","MG","Piedade dos Gerais","35476-000"
"1938","MG","Pimenta","35585-000"
"1939","MG","Pingo-D'Água","35348-000"
"1940","MG","Pintópolis","39317-000"
"1941","MG","Piracema","35536-000"
"1942","MG","Pirajuba","38210-000"
"1943","MG","Piranga","36480-000"
"1944","MG","Piranguçu","37511-000"
"1945","MG","Piranguinho","37508-000"
"1946","MG","Pirapetinga","36730-000"
"1947","MG","Pirapora","39270-000"
"1948","MG","Piraúba","36170-000"
"1949","MG","Pitangui","35650-000"
"1950","MG","Piumhi","37925-000"
"1951","MG","Planura","38220-000"
"1952","MG","Poço Fundo","37757-000"
"1953","MG","Poços de Caldas","37700-001"
"1954","MG","Pocrane","36960-000"
"1955","MG","Pompéu","35640-000"
"1956","MG","Ponte Nova","35430-001"
"1957","MG","Ponto Chique","39328-000"
"1958","MG","Ponto dos Volantes","39615-000"
"1959","MG","Porteirinha","39520-000"
"1960","MG","Porto Firme","36568-000"
"1961","MG","Poté","39827-000"
"1962","MG","Pouso Alegre","37550-001"
"1963","MG","Pouso Alto","37468-000"
"1964","MG","Prados","36320-000"
"1965","MG","Prata","38140-000"
"1966","MG","Pratápolis","37970-000"
"1967","MG","Pratinha","38960-000"
"1968","MG","Presidente Bernardes","36475-000"
"1969","MG","Presidente Juscelino","39245-000"
"1970","MG","Presidente Kubitschek","39135-000"
"1971","MG","Presidente Olegário","38750-000"
"1972","MG","Prudente de Morais","35738-000"
"1973","MG","Quartel Geral","35625-000"
"1974","MG","Queluzito","36424-000"
"1975","MG","Raposos","34400-000"
"1976","MG","Raul Soares","35350-000"
"1977","MG","Recreio","36740-000"
"1978","MG","Reduto","36920-000"
"1979","MG","Resende Costa","36340-000"
"1980","MG","Resplendor","35230-000"
"1981","MG","Ressaquinha","36270-000"
"1982","MG","Riachinho","38640-000"
"1983","MG","Riacho dos Machados","39529-000"
"1984","MG","Ribeirão das Neves","33800-001"
"1985","MG","Ribeirão Vermelho","37264-000"
"1986","MG","Rio Acima","34300-000"
"1987","MG","Rio Casca","35370-000"
"1988","MG","Rio do Prado","39940-000"
"1989","MG","Rio Doce","35442-000"
"1990","MG","Rio Espera","36460-000"
"1991","MG","Rio Manso","35485-000"
"1992","MG","Rio Novo","36150-000"
"1993","MG","Rio Paranaíba","38810-000"
"1994","MG","Rio Pardo de Minas","39530-000"
"1995","MG","Rio Piracicaba","35940-000"
"1996","MG","Rio Pomba","36180-000"
"1997","MG","Rio Preto","36130-000"
"1998","MG","Rio Vermelho","39170-000"
"1999","MG","Ritápolis","36335-000"
"2000","MG","Rochedo de Minas","36604-000"
"2001","MG","Rodeiro","36510-000"
"2002","MG","Romaria","38520-000"
"2003","MG","Rosário da Limeira","36878-000"
"2004","MG","Rubelita","39565-000"
"2005","MG","Rubim","39950-000"
"2006","MG","Sabará","34500-001"
"2007","MG","Sabinópolis","39750-000"
"2008","MG","Sacramento","38190-000"
"2009","MG","Salinas","39560-000"
"2010","MG","Salto da Divisa","39925-000"
"2011","MG","Santa Bárbara","35960-000"
"2012","MG","Santa Bárbara do Leste","35328-000"
"2013","MG","Santa Bárbara do Monte Verde","36132-000"
"2014","MG","Santa Bárbara do Tugúrio","36215-000"
"2015","MG","Santa Cruz de Minas","36328-000"
"2016","MG","Santa Cruz de Salinas","39563-000"
"2017","MG","Santa Cruz do Escalvado","35383-000"
"2018","MG","Santa Efigênia de Minas","39725-000"
"2019","MG","Santa Fé de Minas","39295-000"
"2020","MG","Santa Helena de Minas","39874-000"
"2021","MG","Santa Juliana","38175-000"
